FILE,COLUMN,TYPE,UNIT,FORMULA,SOURCE,EARLIEST_AVAILABILITY,POINT_IN_TIME_FEATURE_OR_OUTCOME,MISSING_VALUE_MEANING,KNOWN_LIMITATION
pool_master.csv.gz,n_buys,int,-,-,-,-,META,-,-
pool_master.csv.gz,n_sells,int,-,-,-,-,META,-,-
pool_master.csv.gz,reserve_chain_consistency,float,-,fractia perechilor consecutive cu post==pre urmator,-,-,META,-,-
pool_master.csv.gz,has_curve_features,int,-,1 daca pool-ul are trasaturi (populatia master 946),-,-,META,-,-
pool_master.csv.gz,has_wallets,int,-,1 daca evenimentele au portofel,-,-,META,-,-
pool_feature_panel.csv.gz,pool_id,string(hex32),-,sha256('external-review-v1:'+pool_address)[:32],CreatePoolEvent / pool tape,la crearea pool-ului,KEY,-,hash unidirectional; nu se poate inversa
pool_feature_panel.csv.gz,mint_id,string(hex32),-,sha256('external-review-v1:'+mint)[:32],CreateEvent/CompleteEvent,la creare,KEY,-,idem
pool_feature_panel.csv.gz,horizon_s,int,s,orizontul de observare h (decizie la T0+h),spec,-,KEY,-,-
pool_feature_panel.csv.gz,decision_ts,int,s epoch,pool_creation_ts + h,-,-,PIT,-,-
pool_feature_panel.csv.gz,feature_max_ts,int,s epoch,cel mai mare ts al evenimentelor folosite la trasaturi (< decision_ts),-,-,PIT,gol = fara evenimente inainte de decizie,-
pool_feature_panel.csv.gz,pool_creation_ts,int,s epoch,ts on-chain CreatePoolEvent (SEP01: blockTime al primei stari),CreatePoolEvent,la creare,META/PIT,-,-
pool_feature_panel.csv.gz,complete_ts,int,s epoch,ts on-chain al tranzactiei care completeaza curba,CompleteEvent (ts al TradeEvent din aceeasi tx; SEP01 blockTime),la completare,META/PIT,-,rezolutie 1 s
pool_feature_panel.csv.gz,actual_entry_ts,float,s epoch,decision_ts + 2 s (intrarea conservatoare),-,-,PIT,-,-
pool_feature_panel.csv.gz,actual_entry_slot,int,slot,slotul starii de intrare (ultimul eveniment <= intrare),-,-,PIT,-,-
pool_feature_panel.csv.gz,partition_master,string,-,DEV/VAL/AUDIT din laboratorul master (cronologic pe pool),master_edge_discovery.py,-,META,gol = fara trasaturi,-
pool_feature_panel.csv.gz,features_available,int,-,1 daca randul are trasaturi,-,-,META,-,-
pool_feature_panel.csv.gz,missingness_reason,string,-,motivul lipsei trasaturilor,-,-,META,-,-
pool_feature_panel.csv.gz,n_missing_features,int,-,numar de trasaturi nule,-,-,META,-,-
pool_feature_panel.csv.gz,manipulation_flag_burst,int,-,1 daca >=50 % din evenimentele pre-decizie sunt in sloturi cu >=3 portofele distincte,-,-,PIT,gol = fara trasaturi,adrese brute: coordonare invizibila
pool_feature_panel.csv.gz,ordering_quality_flag,string,-,idem ordering_quality,-,-,META,-,-
pool_feature_panel.csv.gz,f_t0h_sell_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_t0h_sold_frac,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_t0h_sellers_n,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_fresh_buyers_n,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_fresh_buy_quote,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_fresh_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_ret_buy_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_ret_buyers_n,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_buy_ratio,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_net_quote_flow,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_last5_buy_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_sign_runs,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_size_median_sol,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_size_top1_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_repeat_size_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_max_wallets_per_slot,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_burst_event_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_px_ret_bp,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_impact_per_sol,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_absorption,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_max_dd_bp,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_recovery_bp,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_rq_change_sol,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_n_events,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_events_per_s,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_creator_t0_share,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_creator_sold_pre_D,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_creator_sold_on_curve,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_curve_duration_s,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_curve_trades_n,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_feature_panel.csv.gz,f_curve_unique_buyers,float,vezi master_feature_registry.json,trasatura point-in-time calculata din evenimente cu ts < decision_ts (definitie in code/master_feature_registry.json),master_edge_discovery.py::features,decision_ts,PIT,gol = nedefinita (fara evenimente / fara curba),adrese brute; COORDINATION_BLIND
pool_outcomes.csv.gz,decision_ts,int,s epoch,pool_creation_ts + h,-,-,PIT,-,-
pool_outcomes.csv.gz,horizon_s,int,s,orizontul de observare h (decizie la T0+h),spec,-,KEY,-,-
pool_outcomes.csv.gz,mint_id,string(hex32),-,sha256('external-review-v1:'+mint)[:32],CreateEvent/CompleteEvent,la creare,KEY,-,idem
pool_outcomes.csv.gz,outcome_entry_ts,float,s epoch,decision_ts + 2 s,-,-,PIT,-,-
pool_outcomes.csv.gz,pool_id,string(hex32),-,sha256('external-review-v1:'+pool_address)[:32],CreatePoolEvent / pool tape,la crearea pool-ului,KEY,-,hash unidirectional; nu se poate inversa
pool_outcomes.csv.gz,OUT_FIX180_entry_cost_usd,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_cost: camp usd (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_fee_bps,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_fee: camp bps (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_qty_tokens,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_qty: camp tokens (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_quote_in_lamports,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_quote: camp in_lamports (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_rb,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_rb: camp rb (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_rq,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_rq: camp rq (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_slot,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_slot: camp slot (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_entry_ts,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_entry_ts: camp ts (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exact_liquidation_usd,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exact_liquidation: camp usd (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exit_rb,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exit_rb: camp rb (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exit_rq,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exit_rq: camp rq (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exit_slot,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exit_slot: camp slot (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exit_ts,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exit_ts: camp ts (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_exit_type,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_exit_type: camp type (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_first_barrier,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_first_barrier: camp barrier (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_hold_s,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_hold_s: camp s (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_mae_usd,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_mae_usd: camp usd (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_mfe_usd,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_mfe_usd: camp usd (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_pnl_usd,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_pnl_usd: camp usd (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_ret,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_ret: camp ret (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
pool_outcomes.csv.gz,OUT_FIX180_same_slot_tp_sl_ambiguity,number/string,USD/tokeni/lamports/s,"OUTCOME VIITOR al politicii FIX180_same_slot: camp tp_sl_ambiguity (entry_qty_tokens, entry_cost_usd, entry_rb/rq, exit_type, first_barrier, exit_ts/slot/rb/rq, exact_liquidation_usd, pnl_usd, ret, mfe/mae_usd, t_mfe/t_mae/t_tp/t_sl_s, same_slot_tp_sl_ambiguity, hold_s; sufixe cost125/cost150/optimistic/latX = stres)",build_external_bundle.py::sim,dupa iesire,OUTCOME,gol = neexecutabil,fara FAIL-1/Jito
